# Iteration newS newE bestS bestE rejectS rejectE
0 0.6832293541631944 46.0 5.3483667105841 0.6832293541631944 46.0 5.3483667105841
1 0.8834349100650881 44.0 6.018604651162789 0.6832293541631944 46.0 5.3483667105841
2 0.8152416441049113 32.0 5.493641129032257 0.6832293541631944 46.0 5.3483667105841
3 0.23530184999857373 42.0 8.697926829268296 0.6832293541631944 46.0 5.3483667105841
4 0.6803692448965396 30.0 5.683004926108371 0.6832293541631944 46.0 5.3483667105841
5 0.24300048330616236 12.0 2.882060606060607 0.24300048330616236 12.0 2.882060606060607
6 0.7856958688794152 39.0 5.82005957374378 0.24300048330616236 12.0 2.882060606060607
7 0.8956147764509511 32.0 6.697329301075263 0.24300048330616236 12.0 2.882060606060607
8 0.391415416242103 33.0 7.572091886608017 0.24300048330616236 12.0 2.882060606060607
9 0.1644695143101347 37.0 8.709955383955375 0.24300048330616236 12.0 2.882060606060607
10 0.14468401367943443 28.0 6.484203296703289 0.24300048330616236 12.0 2.882060606060607
11 0.6708429819518894 21.0 4.29728947368421 0.24300048330616236 12.0 2.882060606060607
12 0.29980171576315046 23.0 4.550256916996052 0.24300048330616236 12.0 2.882060606060607
13 0.5804723407175161 26.0 5.184576923076923 0.24300048330616236 12.0 2.882060606060607
14 0.19139456579939515 47.0 11.350762257169295 0.24300048330616236 12.0 2.882060606060607
15 0.15028894825426492 41.0 11.563760944340213 0.24300048330616236 12.0 2.882060606060607
16 0.7856471018278339 39.0 5.334913557281976 0.24300048330616236 12.0 2.882060606060607
17 0.7474061859390563 48.0 6.840820228183779 0.24300048330616236 12.0 2.882060606060607
18 0.48392475261862566 35.0 7.768085561497324 0.24300048330616236 12.0 2.882060606060607
19 0.6858820659277649 47.0 6.341848596978104 0.24300048330616236 12.0 2.882060606060607
20 0.17709909920431174 41.0 11.418347873671042 0.24300048330616236 12.0 2.882060606060607
21 0.3044721359220134 29.0 6.11802727604452 0.24300048330616236 12.0 2.882060606060607
22 0.42108241486795583 36.0 7.5773637636872895 0.24300048330616236 12.0 2.882060606060607
23 0.3384926191257543 45.0 9.236947498238198 0.24300048330616236 12.0 2.882060606060607
24 0.262196408309566 24.0 5.570487483530968 0.24300048330616236 12.0 2.882060606060607
25 0.4560223737018744 43.0 6.151471247602838 0.24300048330616236 12.0 2.882060606060607
26 0.9210206700680826 30.0 7.213546798029561 0.24300048330616236 12.0 2.882060606060607
27 0.2928628442629795 39.0 8.099582923003974 0.24300048330616236 12.0 2.882060606060607
28 0.6702891051906699 27.0 5.4629555555555545 0.24300048330616236 12.0 2.882060606060607
29 0.23230967799508792 12.0 2.508666666666668 0.23230967799508792 12.0 2.508666666666668
30 0.706164425953486 19.0 3.7266597867217026 0.23230967799508792 12.0 2.508666666666668
